May 18 09:41:22 CoreMP135 systemd[1]: Started aas-agent.service - AAS Agent.
May 18 09:41:37 CoreMP135 uv[21992]: 09:41:37.568 [INFO    ] aas_agent.core.base_operation_service — EmissionService: 4 Operation(s) registered: ['emissionfactor', 'stations[0].currentcfsubmodel', 'stations[0].triggeraggregation', 'stations[0].resetaggregation']
May 18 09:41:37 CoreMP135 uv[21992]: 09:41:37.572 [INFO    ] aas_agent.services.emission_service.emission_service — [Station 0] Emission factor before update: None
May 18 09:41:37 CoreMP135 uv[21992]: 09:41:37.916 [INFO    ] aas_agent.services.emission_service.emission_service — [Station 0] Emission factor updated: 0.059
May 18 09:41:37 CoreMP135 uv[21992]: 09:41:37.941 [INFO    ] aas_agent.services.emission_service.emission_service — [Station 0] current_cf_submodel_path: 'https://admin-shell.io/idta/SubmodelTemplate/CarbonFootprint/1/0'
May 18 09:41:38 CoreMP135 uv[21992]: 09:41:38.053 [INFO    ] aas_agent.core.base_operation_service — EmissionService: 4 Operation(s) registered: ['emissionfactor', 'stations[1].currentcfsubmodel', 'stations[1].triggeraggregation', 'stations[1].resetaggregation']
May 18 09:41:38 CoreMP135 uv[21992]: 09:41:38.057 [INFO    ] aas_agent.services.emission_service.emission_service — [Station 1] Emission factor before update: None
May 18 09:41:38 CoreMP135 uv[21992]: 09:41:38.087 [INFO    ] aas_agent.services.emission_service.emission_service — [Station 1] Emission factor updated: 0.059
May 18 09:41:38 CoreMP135 uv[21992]: 09:41:38.109 [WARNING ] aas_agent.services.emission_service.emission_service — [Station 1] current_cf_submodel_path is not set or empty
May 18 09:41:38 CoreMP135 uv[21992]: 09:41:38.190 [INFO    ] aas_agent.core.base_operation_service — EmissionService: 4 Operation(s) registered: ['emissionfactor', 'stations[2].currentcfsubmodel', 'stations[2].triggeraggregation', 'stations[2].resetaggregation']
May 18 09:41:38 CoreMP135 uv[21992]: 09:41:38.207 [INFO    ] aas_agent.services.emission_service.emission_service — [Station 2] Emission factor before update: None
May 18 09:41:38 CoreMP135 uv[21992]: 09:41:38.240 [INFO    ] aas_agent.services.emission_service.emission_service — [Station 2] Emission factor updated: 0.059
May 18 09:41:38 CoreMP135 uv[21992]: 09:41:38.263 [WARNING ] aas_agent.services.emission_service.emission_service — [Station 2] current_cf_submodel_path is not set or empty
May 18 09:41:38 CoreMP135 uv[21992]: 09:41:38.346 [INFO    ] aas_agent.core.base_operation_service — EmissionService: 4 Operation(s) registered: ['emissionfactor', 'stations[3].currentcfsubmodel', 'stations[3].triggeraggregation', 'stations[3].resetaggregation']
May 18 09:41:38 CoreMP135 uv[21992]: 09:41:38.348 [INFO    ] aas_agent.services.emission_service.emission_service — [Station 3] Emission factor before update: None
May 18 09:41:38 CoreMP135 uv[21992]: 09:41:38.385 [INFO    ] aas_agent.services.emission_service.emission_service — [Station 3] Emission factor updated: 0.059
May 18 09:41:38 CoreMP135 uv[21992]: 09:41:38.413 [WARNING ] aas_agent.services.emission_service.emission_service — [Station 3] current_cf_submodel_path is not set or empty
